Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,4u7,CP_Radial_D4.0mm_P1.50mm,216.18575,-205.70875,90.0,top
C2,0u1,C_Axial_L3.8mm_D2.6mm_P7.50mm_Horizontal,208.11775,-204.95875,0.0,top
C3,0u1,C_Axial_L3.8mm_D2.6mm_P7.50mm_Horizontal,208.205125,-190.718625,180.0,top
C4,22p,C_Axial_L3.8mm_D2.6mm_P7.50mm_Horizontal,191.67475,-208.76525,-90.0,top
C5,22p,C_Axial_L3.8mm_D2.6mm_P7.50mm_Horizontal,201.32675,-208.76525,-90.0,top
D1,3v6,D_DO-35_SOD27_P7.62mm_Horizontal,114.71275,-211.9435,180.0,top
D10,D,D_DO-35_SOD27_P7.62mm_Horizontal,244.475375,-194.274625,-90.0,top
D11,D,D_DO-35_SOD27_P7.62mm_Horizontal,142.065375,-196.814625,-90.0,top
D12,D,D_DO-35_SOD27_P7.62mm_Horizontal,248.285375,-196.814625,-90.0,top
D13,D,D_DO-35_SOD27_P7.62mm_Horizontal,126.825375,-208.244625,-90.0,top
D14,D,D_DO-35_SOD27_P7.62mm_Horizontal,233.045375,-208.244625,-90.0,top
D15,D,D_DO-35_SOD27_P7.62mm_Horizontal,130.635375,-205.704625,-90.0,top
D16,D,D_DO-35_SOD27_P7.62mm_Horizontal,236.855375,-205.704625,-90.0,top
D17,D,D_DO-35_SOD27_P7.62mm_Horizontal,134.445375,-208.244625,-90.0,top
D18,D,D_DO-35_SOD27_P7.62mm_Horizontal,240.665375,-208.244625,-90.0,top
D19,D,D_DO-35_SOD27_P7.62mm_Horizontal,138.255375,-205.704625,-90.0,top
D2,3v6,D_DO-35_SOD27_P7.62mm_Horizontal,114.71275,-208.19725,180.0,top
D20,D,D_DO-35_SOD27_P7.62mm_Horizontal,244.475375,-205.704625,-90.0,top
D21,D,D_DO-35_SOD27_P7.62mm_Horizontal,142.065375,-208.244625,-90.0,top
D22,D,D_DO-35_SOD27_P7.62mm_Horizontal,248.285375,-208.244625,-90.0,top
D23,D,D_DO-35_SOD27_P7.62mm_Horizontal,147.375375,-194.274625,-90.0,top
D24,D,D_DO-35_SOD27_P7.62mm_Horizontal,253.595375,-194.274625,-90.0,top
D25,D,D_DO-35_SOD27_P7.62mm_Horizontal,151.185375,-196.814625,-90.0,top
D26,D,D_DO-35_SOD27_P7.62mm_Horizontal,257.405375,-196.814625,-90.0,top
D27,D,D_DO-35_SOD27_P7.62mm_Horizontal,154.995375,-194.274625,-90.0,top
D28,D,D_DO-35_SOD27_P7.62mm_Horizontal,261.215375,-194.274625,-90.0,top
D29,D,D_DO-35_SOD27_P7.62mm_Horizontal,158.805375,-196.814625,-90.0,top
D3,D,D_DO-35_SOD27_P7.62mm_Horizontal,126.825375,-196.814625,-90.0,top
D30,D,D_DO-35_SOD27_P7.62mm_Horizontal,265.025375,-196.814625,-90.0,top
D31,D,D_DO-35_SOD27_P7.62mm_Horizontal,162.615375,-194.274625,-90.0,top
D32,D,D_DO-35_SOD27_P7.62mm_Horizontal,268.835375,-194.274625,-90.0,top
D33,D,D_DO-35_SOD27_P7.62mm_Horizontal,147.375375,-205.704625,-90.0,top
